year,study_ID,Column1,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,host_species,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,notes,all_type,all_type2,md,insec1,insec,sm
,"(Laohasinnarong et al., 2011)",,,,Tanzania,,,,,TZA,,,, cattle ,cattle,mol,PCR,1,Trypanozoon,Trypanozoon,148,1,0.675675676,,https://link.springer.com/article/10.1007%2Fs00436-011-2513-2#Sec2,,,21739311,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2015,"(Laohasinnarong et al., 2015)",cited,2008 and 2010,africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,1,Trypanozoon,Trypanozoon,546,9,1.6,26419347,9,537,0.016,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",cited,2008 and 2010,Africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,1,Trypanosoma_brucei,Trypanosoma_brucei_rhodesiense,546,19,3.4,26419347,19,527,0.034,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",cited,2008 and 2010,africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,1,Trypanosoma_congolense,Trypanosoma_congolense,546,59,10.8,26419347,59,487,0.108,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",cited,2008 and 2010,Africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,1,Trypanosoma_vivax,Trypanosoma_vivax,546,137,25.1,26419347,137,409,0.251,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
,"(Laranjeira et al., 2014)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero, enzyme-linked immunosorbent assay ,9,Leishmania_spp.,Leishmania_spp.,134,73,54.48,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181098/#!po=32.3529,,,25210815,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2016,"(Lardeux et al., 2016)",cited,NA,South America,Bolivia,16°20’S,68°10’W,1,1,BOL,Hemiptera,Triatoma infestans ,Triatoma infestans ,truebugs,truebugs,mol,PCR,5,Trypanosoma_cruzi,Trypanosoma_cruzi,650,108,16.8,27860015,108,542,0.168,,,cross_sectional ,prospective study,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2005,"(Lauricella et al., 2005)",cited,1999,South America,Argentina,36°30’S,60°00’W,1,2,ARG,Hemiptera,Triatoma guasayana,"T. guasayana, T. infestans",truebugs,truebugs,micro,"microscopic	examination",5,Trypanosoma_cruzi,Trypanosoma_cruzi,1623,14,0.9,16021298,14,1609,0.009,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2018,"(Leal et al., 2018)",cited,2014 and 2015,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, ELISA and DPP,9,Leishmania_infantum,Leishmania_infantum,5822,1282,22,29406075,1282,4540,0.22,,,cross_sectional ,agreement : ELISA and DPP,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Leca et al., 2015)",,,,Brazil,,,,,BRA,,,,dogs,dogs,mol," microscopic,  polymerase chain reaction, PCR ",9,Leishmania_braziliensis,Leishmania_braziliensis,273,10,3.66,,https://www.sciencedirect.com/science/article/pii/S0001706X15001047?via%3Dihub,,,25917715,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Lemma et al., 2017)",,,,Ethiopia,,,,,ETH,,,, rodents,rodents,mol," smears, polymerase chain reaction, microscopy, PCR ",9,Leishmania_spp.,Leishmania_spp.,87,11,12.64367816,,https://www.sciencedirect.com/science/article/pii/S1995764516306988?via%3Dihub,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Leontides et al., 2002)",,,,Greece,,,,,GRC,,,,dogs,dogs,mol,"  polymerase chain reaction, PCR ",9,Leishmania_spp.,Leishmania_spp.,73,46,63.01369863,,,,,12383622,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Leppert et al., 2008)",,,,USA,,,,,USA,,,,birds,birds,micro, NA ,1,Trypanosoma_spp.,Trypanosoma_spp.,108,4,3.703703704,,,,,18436683,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Lima et al., 2013)",,,,Brazil,,,,,BRA,,,,animals,animals,mol, PCR ,9,Leishmania_spp.,Leishmania_spp.,164,52,31.71,,https://www.researchgate.net/publication/250920546_Small_mammals_as_hosts_of_Leishmania_spp_in_a_highly_endemic_area_for_zoonotic_leishmaniasis_in_North-Eastern_Brazil,,,NA,,,,4,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Lima-Oliveira et al., 2020)",,,,Brazil,,,,,BRA,,,,,truebugs,mol,PCR,5,Trypanosoma_cruzi,Trypanosoma_cruzi,223,58,26,,https://www.sciencedirect.com/science/article/pii/S0001706X19308770?via%3Dihub,,,31545949,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Lins et al., 2018)",cited,,,Brazil,,,,,BRA,,,,dogs,dogs,sero, ELISA ,9,Leishmania_infantum,Leishmania_infantum,242,6,2.479338843,,https://www.scielo.br/pdf/rsbmt/v51n5/1678-9849-rsbmt-51-05-680.pdf,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Lisi et al., 2014)",,,,Italy,,,,,ITA,,,,flies ,flies,mol,PCR,9,Leishmania_spp.,Leishmania_spp.,72,8,11,4341 only 72 were tested for tryps,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-014-0560-0,,,25487039,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
,"(Lisulo et al., 2014)",,,,Zambia,,,,,ZMB,,,,dogs,dogs,micro," LAMP, microscopy ",1,Trypanosoma_congolense,Trypanosoma_congolense,237,3,1.27,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-7-19,,,24411022,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Lisulo et al., 2014)",,,,Zambia,,,,,ZMB,,,,dogs,dogs,micro," LAMP, microscopy ",1,Trypanosoma_brucei,Trypanosoma_brucei,237,10,4.22,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-7-19,,,24411022,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2015,"(Lledo et al., 2015)",cited,NA,Europe,Spain,40°25’N,03°45’W,1,1,ESP,Carnivora,Vulpes vulpes,Vulpes vulpes,foxes,animals,micro,microscopic examination,9,Leishmania_infantum,Leishmania_infantum,400,48,12,26565688,48,352,0.12,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Lopes et al., 2013)",,,Europe,Portugal,,,,,PRT,,,,equids,equids,sero," direct agglutination test, DAT, modified agglutination test, MAT ",9,Leishmania_infantum,Leishmania_infantum,173,7,4.046242775,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-6-178,,,23773870,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Lopes et al., 2014)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero,ELISA,9,Leishmania_spp.,Leishmania_spp.,345,189,54.7,,https://www.scielo.br/pdf/rsbmt/v47n6/0037-8682-rsbmt-47-06-791.pdf,,,25626662,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2012,"(Lopez-Cespedes et al., 2012)",cited,NA,North America,Mexico,19°20’N,99°10’W,1,1,MEX,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,ELISA,9,Leishmania_infantum,Leishmania_infantum,412,25,6.07,T11,25,387,0.0607,,stray,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Lopez-Cespedes et al., 2012)",cited,NA,North America,Mexico,19°20’N,99°10’W,1,1,MEX,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,ELISA,9,Leishmania_braziliensis,Leishmania_braziliensis,412,31,7.52,T11,31,381,0.0752,,stray,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Lopez-Cespedes et al., 2012)",cited,NA,North America,Mexico,19°20’N,99°10’W,1,1,MEX,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,ELISA,,Leishmania_mexicana,Leishmania_mexicana,412,85,20.63,T11,85,327,0.2063,,stray,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Lopez-Cespedes et al., 2013)",cited,2008-2009,North America,Mexico,19°20’N,99°10’W,1,1,MEX,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, ELISA-H,5,Trypanosoma_cruzi,Trypanosoma_cruzi,630,17,2.7,22775973,17,613,0.027,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2001,"(Machila et al., 2001)",cited,,Africa,Zambia,,,,,ZMB,,,,cattle,cattle,micro,"microscopic	examination and ELISA",1,Trypanosoma_vivax,Trypanosoma_vivax,1579,3,0.19,H5,3,1576,0.189993667,,,longitudinal,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2001,"(Machila et al., 2001)",cited,,Africa,Zambia,,,,,ZMB,,,,cattle,cattle,micro,"microscopic	examination and ELISA",1,Trypanosoma_congolense,Trypanosoma_congolense,1579,94,6.14,H5,94,1485,6.143128562,,,longitudinal,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2006,"(Magallon-Gastelum et al., 2006)",cited,1998-1999,North America,Mexico,19°20’N,99°10’W,1,2,MEX,Hemiptera,Triatoma longipennis,"T. longipennis, T. picturata ",truebugs,truebugs,micro,"microscopic	examination",5,Trypanosoma_cruzi,Trypanosoma_cruzi,485,245,50.5,T8,245,240,0.505,,Domestic and peridomestic ,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
,"(Maganga et al., 2017)",,,,Gabon,,,,,GAB,,,,cattle,cattle,mol,PCR ,1,Trypanosoma_spp.,Trypanosoma spp.,224,72,32.14,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5780766/,,,28145221,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Maharjan et al., 2006)",,,,Nepal,,,,,NEP,,,,animals,animals,micro, NA ,1,Trypanosoma_spp.,Trypanosoma_spp.,240,16,6.666666667,,https://www.researchgate.net/publication/6662367_Trypanosomiasis_in_Domestic_Animals_of_Makwanpur_District_Nepal#fullTextFileContent,,,17135531,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Maia et al., 2010)",,,,Portugal,,,,,PRT,,,, dogs ,dogs,mol, PCR ,9,Leishmania_infantum,Leishmania_infantum,138,28,20.28985507,,https://www.sciencedirect.com/science/article/pii/S0304401710004851?via%3Dihub,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2014,"(Maia et al., 2014)",cited,2012-2013,Europe,Portugal,38°42’N,09°10’W,1,1,PRT,Carnivora,Felis catus ,Felis catus ,cats,cats,mol,PCR,9,Leishmania_spp.,Leishmania_spp.,649,64,9.9,24655431,64,585,0.099,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Maia et al., 2015)",,,Europe,Portugal,,,,,PRT,,,,dogs,dogs,sero," direct agglutination test, enzyme-linked immunosorbent assay ",9,Leishmania_infantum,Leishmania_infantum,170,31,18.24,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-015-0771-z,,,25890353,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Maia et al., 2015A)",,,,Portugal,,,,,PRT,,,,cats,cats,sero, NA ,9,Leishmania_infantum,Leishmania_infantum,271,10,3.7,,https://www.sciencedirect.com/science/article/pii/S1383576914001524?via%3Dihub,,,25463307,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Maia et al., 2016)",,Europe,Europe,Portugal,,,,,PRT,,,,dogs,dogs,mol," qPCR, polymerase chain reaction, PCR ",9,Leishmania_infantum,Leishmania_infantum,230,139,60.43478261,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-016-1452-2,,,,27160085,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2013,"(Majekodunmi et al., 2013)",cited,2008,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,1,Trypanosoma_brucei,Trypanosoma_brucei_brucei,7143,229,3.2,23958205,229,6914,0.032,,,longitudinal,longitudinal,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Majekodunmi et al., 2013)",cited,2008,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,1,Trypanosoma_vivax,Trypanosoma_vivax,7143,1907,26.7,23958205,1907,5236,0.267,,,longitudinal,longitudinal,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Majekodunmi et al., 2013)",cited,2008,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,1,Trypanosoma_congolense,Trypanosoma_congolense,7143,1979,27.7,23958205,1979,5164,0.277,,,longitudinal,longitudinal,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  swynnertoni ,G. swynnertoni ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_vivax,Trypanosoma_vivax,368,2,0.54,14636688,2,366,0.0054,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  brevipalpis ,G. brevipalpis ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_Kenya_coast,106,1,0.94,14636688,1,105,0.0094,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  brevipalpis ,G. brevipalpis ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_vivax,Trypanosoma_vivax,106,1,0.94,14636688,1,105,0.0094,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  swynnertoni ,G. swynnertoni ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_savannah,368,5,1.36,14636688,5,363,0.0136,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina morsitans submorsitans ,G. m. morsitans,flies,flies,micro,"microscopic	examination",1,Trypanosoma_godfreyi,Trypanosoma_godfreyi,266,7,2.63,14636688,7,259,0.0263,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina morsitans submorsitans ,G. m. morsitans,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_Kenya_coast,266,8,3.01,14636688,8,258,0.0301,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina morsitans submorsitans ,G. m. morsitans,flies,flies,micro,"microscopic	examination",1,Trypanosoma_vivax,Trypanosoma_vivax,266,8,3.01,14636688,8,258,0.0301,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  swynnertoni ,G. swynnertoni ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_Kenya_coast,368,12,3.26,14636688,12,356,0.0326,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  swynnertoni ,G. swynnertoni ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_godfreyi,Trypanosoma_godfreyi,368,14,3.8,14636688,14,354,0.038,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina morsitans submorsitans ,G. m. morsitans,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_savannah,266,12,4.51,14636688,12,254,0.0451,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  swynnertoni ,G. swynnertoni ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,368,19,5.16,14636688,19,349,0.0516,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina morsitans submorsitans ,G. m. morsitans,flies,flies,micro,"microscopic	examination",1,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,266,15,5.64,14636688,15,251,0.0564,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  brevipalpis ,G. brevipalpis ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_savannah,106,6,5.66,14636688,6,100,0.0566,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina palpalis ,G. pallidipes ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_godfreyi,Trypanosoma_godfreyi,301,22,7.31,14636688,22,279,0.0731,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina palpalis ,G. pallidipes ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_vivax,Trypanosoma_vivax,301,23,7.64,14636688,23,278,0.0764,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina palpalis ,G. pallidipes ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_Kenya_coast,301,34,11.29,14636688,34,267,0.1129,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina palpalis ,G. pallidipes ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,301,37,12.29,14636688,37,264,0.1229,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina palpalis ,G. pallidipes ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_congolense,Trypanosoma_congolense_savannah,301,46,15.28,14636688,46,255,0.1528,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2003,"(Malele et al., 2003)",cited,NA,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina  brevipalpis ,G. brevipalpis ,flies,flies,micro,"microscopic	examination",1,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,106,47,44.34,14636688,47,59,0.4434,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
,"(Malele et al., 2011)",,,,Tanzania,,,,,TZA,,,,,flies,mol,PCR,1,Trypanosoma_brucei,Trypanosoma_brucei,82,58,70.73,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-217,,,22093363,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Malele et al., 2011)",,,,Tanzania,,,,,TZA,,,,,flies,mol,PCR,1,Trypanosoma_congolense,Trypanosoma_congolense,82,27,32.93,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-217,,,22093363,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Malele et al., 2011)",,,,Tanzania,,,,,TZA,,,,,flies,mol,PCR,1,Trypanosoma_vivax,Trypanosoma_vivax,82,40,48.78,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-217,,,22093363,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Malele et al., 2011)",,,,Tanzania,,,,,TZA,,,,,flies,mol,PCR,1,Trypanosoma_simiae,Trypanosoma_simiae,82,76,92.68,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-217,,,22093363,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_impatiens,B. impatiens,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,259,28,10.8,35,28,231,0.108,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_griseocollis,B. griseocollis,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,319,65,20.3,35,65,254,0.203,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_bimaculatus,B. bimaculatus,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,151,44,29.1,35,44,107,0.291,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_perplexus,B. perplexus,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,32,6,1.9,35,6,26,0.019,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_fervidus,B. fervidus,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,46,2,4.3,35,2,44,0.043,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",cited,2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_auricomus,B. auricomus,bees (mono),bees,micro,visual detection/microscopinc,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,28,1,3.6,35,1,27,0.036,W,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2010,"(Maloney et al., 2010)",cited,2005-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Carnivora,Procyon lotor,Procyon lotor,raccoons,raccoons,sero,IFAT,5,Trypanosoma_cruzi,Trypanosoma_cruzi,706,206,29.2,20001097,206,500,0.292,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_congolense,Trypanosoma_congolense,194,1,0.51,27075986,1,193,0.0051,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_brucei,Trypanosoma_brucei,866,8,0.9,27075986,8,858,0.009,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_brucei,Trypanosoma_brucei,194,2,1,27075986,2,192,0.01,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_congolense,Trypanosoma_congolense,866,11,1.3,27075986,11,855,0.013,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_vivax,Trypanosoma_vivax,194,6,3.1,27075986,6,188,0.031,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",cited,2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",1,Trypanosoma_vivax,Trypanosoma_vivax,866,52,6,27075986,52,814,0.06,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
