year,study_ID,year_of_collection ,continent ,country,latitude,longitude,sociality,life expectency,IS03,Order,host_species2,host_species12,host_species,host1,host,dm,dignostic_method,genus1,genus2,genus,Tryp_species,Tryp_species12,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,Column1,notes,all_type,all_type2,md,insec1,insec,sm
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes ,Glossina pallidipes ,flies,flies,mol, PCR ,,,,Trypanosoma_godfreyi,Trypanosoma_godfreyi,Trypanosoma_godfreyi,419,12,2.9,25138709,12,407,0.029,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina morsitans morsitans ,Glossina morsitans morsitans ,flies,flies,mol, PCR ,,,,Trypanosoma_godfreyi,Trypanosoma_godfreyi,Trypanosoma_godfreyi,137,3,2.2,25138709,3,134,0.022,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes ,Glossina pallidipes ,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae,419,4,1,25138709,4,415,0.01,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina morsitans morsitans ,Glossina morsitans morsitans ,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae,137,3,21.9,25138709,3,134,0.219,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina brevipalpis,Glossina brevipalpis,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae,55,6,10.9,25138709,6,49,0.109,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes ,Glossina pallidipes ,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,419,11,2.6,25138709,11,408,0.026,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina morsitans morsitans ,Glossina morsitans morsitans ,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,137,4,2.9,25138709,4,133,0.029,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina brevipalpis,Glossina brevipalpis,flies,flies,mol, PCR ,,,1,Trypanosoma_simiae,Trypanosoma_simiae,Trypanosoma_simiae_Tsavo,55,3,5.5,25138709,3,52,0.055,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes ,Glossina pallidipes ,flies,flies,mol, PCR ,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,419,9,2.2,25138709,9,410,0.022,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina morsitans morsitans ,Glossina morsitans morsitans ,flies,flies,mol, PCR ,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,137,38,27.7,25138709,38,99,0.277,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Dennis et al., 2014)",2006,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina brevipalpis,Glossina brevipalpis,flies,flies,mol, PCR ,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,55,4,7.2,25138709,4,51,0.072,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2014,"(Simo et al., 2014)",,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,Glossina palpalis palpalis ,Glossina palpalis palpalis ,flies,flies,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,1903,242,12.7,25142136,242,1661,0.127,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Terefe et al., 2015)",NA,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"Agreement(PCV, smears buffy coat)",,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei,409,1,0.24,25510298,1,408,0.0024,,,cross_sectional ,,"Agreement(PCV, smears)",1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Terefe et al., 2015)",NA,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"Agreement(PCV, smears buffy coat)",,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,409,13,3.2,25510298,13,396,0.032,,,longitudinal,,"Agreement(PCV, smears)",1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Terefe et al., 2015)",NA,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"Agreement(PCV, smears buffy coat)",,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,409,10,2.44,25510298,10,399,0.0244,,,longitudinal,,"Agreement(PCV, smears)",1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Berzunza-Cruz et al., 2015)",2009-2010,North America,Mexico,19°20’N,99°10’W,2,2,MEX,Chiroptera,,Pteronotus personatus,"Pteronotus personatus, Artibeus jamaicensis, Artibeus lituratus, Dermanura phaeotis, Carollia sowelli, Choeroniscus godmani, Desmodus rotundus, Glossophaga commissarisi, Glossophaga soricina, Leptonycteris  curasoae, Phyllostomus discolor, Sturnira lilium, Sturnira ludovici.",bats,bats,mol, PCR ,,,,Leishmania_mexicana,Leishmania_mexicana,Leishmania_mexicana,420,41,9.8,25629729,41,379,0.098,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2014,"(Grybchuk-Ieremenko et al., 2014)",2006-2013,Europe,Ukraine,50°30’N,30°28’E,1,2,UKR,Acipenseriformes,,Esox lucius,"Esox lucius, Carassius carassius, Abramis brama, Scardinius erythrophthalmus, Cobitis ʻtaeniaʼ, Silurus glanis , Sander lucioperca, Perca fluviatilis. ",fish,fish,micro,"microscopic	examination",,,,fish_trypanosomes,fish_trypanosomes,fish_trypanosomes,1373,921,67.08,25651690,921,452,0.6708,,sylvatic ,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Kassahun et al., 2015)",2010-2013,Africa,Ethiopia,09°02’N,38°42’E,1,2,ETH,Rodentia,,Mastomys erythroleucus,"Mastomys erythroleucus, Gerbilliscus nigricaudus, Acomys cf. mullah, Gerbillus nanus",rodents,rodents,mol," PCR, ITS1 ",,,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,586,50,8.2,25700710,50,536,0.082,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Castillo-Neyra et al., 2015)",2008,South America,Peru,12°00’S,77°00’W,1,1,PER,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,micro,"microscopic	examination",,,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,7538,1542,12.3,25962956,1542,5996,0.123,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Kocher et al., 2015)",2009,Asia,"Philippines, Thailand",14°40’N,121°03’E,1,1,PHL,Artiodactyla,,Bubalus bubalis,Bubalus bubalis,buffaloes,buffaloes,sero, ELISA ,,,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,892,109,12.2,26101772,109,783,0.122,,,cross_sectional ,,Surra,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Svobodova et al., 2015)",1998 and 2002,Asia,India,28°37’N,77°13’E,1,2,IND,Diptera,,Culex pipiens,"Cx. Pipiens, Cx. Modestus, S. angustipes, S. vernum, O. avicularia.",flies,flies,micro,"microscopic	examination",,,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,Trypanosomatidae_spp.,3270,299,9.2,26211924,299,2971,0.092,,,cross_sectional ,,"Trypanosoma corvi/culicavium, Trypanosoma culicavium, Trypanosoma avium,  Crithidia brevicula.",7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
2015,"(Tehseen et al., 2015)",2012-2013,Asia,Pakistan,33°40’N,73°10’E,1,1,PAK,Artiodactyla,,Camelus dromedarius ,Camelus dromedarius ,camels,camels,mol,PCR,,,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,1005,307,30.5,26259616,307,698,0.305,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Tehseen et al., 2015)",2012-2013,Asia,Pakistan,33°40’N,73°10’E,1,1,PAK,Artiodactyla,,Camelus dromedarius ,Camelus dromedarius ,camels,camels,mol,PCR,,,1,Trypanozoon,Trypanozoon,Trypanozoon,1005,321,31.9,26259616,321,684,0.319,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Laohasinnarong et al., 2015)",2008 and 2010,Africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_rhodesiense,546,19,3.4,26419347,19,527,0.034,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",2008 and 2010,africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,546,59,10.8,26419347,59,487,0.108,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",2008 and 2010,Africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,546,137,25.1,26419347,137,409,0.251,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Laohasinnarong et al., 2015)",2008 and 2010,africa,Zambia,15°28’S,28°16’E,2,2,ZMB,Diptera,,Glossina morsitans submorsitans ,"G. m. morsitans, G. m. morsitans, G.pallidipes. ",flies,flies,mol,PCR,,,1,Trypanozoon,Trypanozoon,Trypanozoon,546,9,1.6,26419347,9,537,0.016,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Grijalva et al., 2015)",NA,South America,Ecuador,00°15’S,78°35’W,1,2,ECU,Hemiptera,,Rhodnius ecuadoriensis,"R. ecuadoriensis, T. carrioni, P. chinai, P. rufotuberculatus",truebugs,truebugs,mol,PCR,,,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,353,80,10.6,26441260,80,273,0.106,,domiciles and peridomiciles,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Grijalva et al., 2015)",NA,South America,Ecuador,00°15’S,78°35’W,1,2,ECU,Hemiptera,,Rhodnius ecuadoriensis,"R. ecuadoriensis, T. carrioni, P. chinai, P. rufotuberculatus",truebugs,truebugs,mol,PCR,,,,Trypanosoma_rangeli,Trypanosoma_rangeli,Trypanosoma_rangeli,353,13,1.7,26441260,13,340,0.017,,domiciles and peridomiciles,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2015,"(Angwech et al., 2015)",2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l,816,14,1.7,26449544,14,802,0.017,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Angwech et al., 2015)",2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,816,54,6.6,26449544,54,762,0.066,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Angwech et al., 2015)",2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,816,260,32,26449544,260,556,0.32,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Hamel et al., 2016)",2010-2011,Europe,Albania,41°18’N,19°49’E,1,1,ALB,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,mol,PCR,,,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,602,28,4.7,26453093,28,574,0.047,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Kozminsky et al., 2015)",2008-2012,South and Central America,Ecuador and  Costa Rica,00°15’S,78°35’W,3,3,ECU,Hemiptera,,,True bug,truebugs,truebugs,mol,"microscopic	examination and PCR",,,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,Trypanosomatidae_spp.,1210,250,20.66,26466163,250,960,0.2066,,,cross_sectional ,,,7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
2015,"(Carvalho et al., 2015)",2013,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,mol,PCR,,,9,Leishmania_braziliensis,Leishmania_braziliensis,Leishmania_braziliensis,413,226,50,26505353,226,187,0.5,,stray,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Lledo et al., 2015)",NA,Europe,Spain,40°25’N,03°45’W,1,1,ESP,Carnivora,,Vulpes vulpes,Vulpes vulpes,foxes,animals,micro,microscopic examination,,,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,400,48,12,26565688,48,352,0.12,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Bamorovat et al., 2015)",,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,mol,PCR,,,9,Leishmania_tropica,Leishmania_tropica,Leishmania_tropica,471,2,0.42,26576349,2,469,0.0042,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Sheferaw et al., 2016)",2013-2014,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,PCV and smears,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,1838,44,2.4,26581831,44,1794,0.024,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Sheferaw et al., 2016)",2013-2014,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,PCV and smears,,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,1838,89,4.8,26581831,89,1749,0.048,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(da Costa et al., 2015)",2012,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero," (ELISA, IFAT,  DPP)",,,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,960,280,29,26684524,280,680,0.29,,,cross_sectional ,,avar three tests,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Oliveira et al., 2015)",,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Felis catus,Felis catus,cats,cats,sero,agreement  (DAT&IFA),,,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,443,3,0.68,26689182,3,440,0.0068,,,cross_sectional ,,agreement  (DAT&IFA),2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Arismendi et al., 2016)",2014-2015,South America,Chile,33°24’S,70°40’W,1,1,CHL,Hymenopterans,Apis_mellifera,Apis_mellifera,Apis mellifera,bees (mono),bees,mol,PCR,Apis_spp.,,Lotmaria_spp.,Lotmaria_passim,Lotmaria_passim,Lotmaria_passim,9450,6300,66.7,26721451,6300,3150,0.667,W,,cross_sectional ,,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2016,"(Kato et al., 2016)",NA,South America,Peru,12°00’S,77°00’W,1,1,PER,Diptera,,Lutzomyia tejadai ,Lu. tejadai ,flies,flies,mol,PCR,,,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,2931,1,0.03,26735142,1,2930,0.0003,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei,866,8,0.9,27075986,8,858,0.009,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei,194,2,1,27075986,2,192,0.01,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,866,11,1.3,27075986,11,855,0.013,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,194,1,0.51,27075986,1,193,0.0051,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,866,52,6,27075986,52,814,0.06,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Mamoudou et al., 2016)",2014,Africa,Cameroon,03°50’N,11°35’E,1,1,CMR,Diptera,,,,flies,flies,micro,"agreement ( buffy coat , microscope , and PCV)",,,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,194,6,3.1,27075986,6,188,0.031,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina tachinoides,Glossina tachinoides,flies,flies,mol, PCR ,,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_brucei,255,22,8.6,27519526,22,233,0.086,,,cross_sectional ,,short report,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina palpalis,Glossina palpalis,flies,flies,mol, PCR ,,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_brucei,451,41,9.1,27519526,41,410,0.091,,,cross_sectional ,,short report,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,,Sus domesticus ,Sus domesticus ,pigs,pigs,mol, PCR ,,,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_brucei,712,63,8.8,27519526,63,649,0.088,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina tachinoides,Glossina tachinoides,flies,flies,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,255,11,4.3,27519526,11,244,0.043,,,cross_sectional ,,short report,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina tachinoides,Glossina tachinoides,flies,flies,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,255,6,2.4,27519526,6,249,0.024,,,cross_sectional ,,short report,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina palpalis,Glossina palpalis,flies,flies,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,451,23,5.1,27519526,23,428,0.051,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina palpalis,Glossina palpalis,flies,flies,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,451,12,2.7,27519526,12,439,0.027,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,,Sus domesticus ,Sus domesticus ,pigs,pigs,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,712,14,2,27519526,14,698,0.02,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,,Sus domesticus ,Sus domesticus ,pigs,pigs,mol, PCR ,,,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,712,19,2.7,27519526,19,693,0.027,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina tachinoides,Glossina tachinoides,flies,flies,mol, PCR ,,,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma_spp.,255,5,2,27519526,5,250,0.02,,,cross_sectional ,,short report,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,2,2,NGA,Diptera,,Glossina palpalis,Glossina palpalis,flies,flies,mol, PCR ,,,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma_spp.,451,7,1.6,27519526,7,444,0.016,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2016,"(Karshima et al., 2016)",2013-2014,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Artiodactyla,,Sus domesticus ,Sus domesticus ,pigs,pigs,mol, PCR ,,,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma_spp.,712,22,3.1,27519526,22,690,0.031,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Hodo et al., 2016)",NA,North America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,,Nycticeius humeralis ,,bats,bats,mol, PCR ,,,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,70,1,1.4,27647574,1,69,0.014,,peridomestic_sylvatic ,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,none_insects,2,meta
2016,"(Hodo et al., 2016)",NA,North America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,,Tadarida brasiliensis,,bats,bats,mol, PCR ,,,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,476,4,0.8,27647574,4,472,0.008,,peridomestic_sylvatic ,cross_sectional ,,peridomestic,3,monoxenous_spp.,monoxenous_spp.,none_insects,2,meta
2016,"(Hodo et al., 2016)",NA,north America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,,Nycticeius humeralis ,,bats,bats,mol, PCR ,,,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,70,1,1.4,27647574,1,69,0.014,,peridomestic_sylvatic ,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Hodo et al., 2016)",NA,North America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,,Tadarida brasiliensis,,bats,bats,mol, PCR ,,,,Trypanosoma_dionisii,Trypanosoma_dionisii,Trypanosoma_dionisii,476,5,1.1,27647574,5,471,0.011,,peridomestic_sylvatic ,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
